Row ID+O6G3A1:R6,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Returns,Payment Mode,ind1,ind2,Turnover,Sales Date,Sales Amount,Quantity Sold,Discount Applied
5868,CA-2019-158211,2019-01-04,08-01-2019,Standard Class,BP-11185,Ben Peterman,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-AR-10004078,Office Supplies,Art,Newell 312,4.672,1,0.584,nan,Online,,,0.6472085378674994,2019-01-13,4.550560541931674,2,0.26
5869,CA-2019-158211,2019-01-04,08-01-2019,Standard Class,BP-11185,Ben Peterman,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-BI-10002026,Office Supplies,Binders,Avery Arch Ring Binders,104.58,6,-80.178,nan,Online,,,-119.30197285065775,2019-01-14,105.17532272079677,6,0.09
863,CA-2019-134474,2019-01-05,07-01-2019,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,South,TEC-AC-10001714,Technology,Accessories,Logitech MX Performance Wireless Mouse,191.472,6,40.6878,nan,COD,,,58.30468387214376,2019-01-26,183.97063725094932,5,0.1
864,CA-2019-134474,2019-01-05,07-01-2019,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,South,OFF-AR-10003958,Office Supplies,Art,Newell 337,5.248,2,0.5904,Returned,Online,,,0.6995860043777818,2019-01-28,5.475401287606809,2,0.02
865,CA-2019-134474,2019-01-05,07-01-2019,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,South,TEC-PH-10002923,Technology,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",59.184,2,5.1786,nan,COD,,,6.073099510071477,2019-02-01,58.19865951391831,1,0.27
2162,CA-2019-101938,2019-01-07,12-01-2019,Standard Class,DW-13480,Dianna Wilson,Home Office,United States,Oakland,California,West,OFF-AR-10003696,Office Supplies,Art,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,34.58,1,10.0282,nan,COD,,,11.766706842284883,2019-01-16,33.60819869953186,1,0.05
8031,CA-2019-158806,2019-01-07,11-01-2019,Standard Class,NM-18520,Neoma Murray,Consumer,United States,Amarillo,Texas,Central,FUR-FU-10004270,Furniture,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock",23.076,3,-10.9611,nan,COD,,,-13.391141859721516,2019-01-22,23.06803834986759,4,0.19
8032,CA-2019-158806,2019-01-07,11-01-2019,Standard Class,NM-18520,Neoma Murray,Consumer,United States,Amarillo,Texas,Central,OFF-PA-10004621,Office Supplies,Paper,Xerox 212,25.92,5,9.072,nan,Cards,,,11.883436139107065,2019-01-27,25.341978345434626,6,0.19
6851,US-2019-100461,2019-01-08,12-01-2019,Standard Class,JO-15145,Jack O'Briant,Corporate,United States,Franklin,Wisconsin,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1565.88,6,407.1288,Returned,Online,,,518.184582842297,2019-01-10,1571.3455610784854,5,0.08
6852,US-2019-100461,2019-01-08,12-01-2019,Standard Class,JO-15145,Jack O'Briant,Corporate,United States,Franklin,Wisconsin,Central,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,106.05,7,49.8435,nan,Cards,,,60.63420185978444,2019-02-02,104.44343953343902,6,0.3
7808,US-2019-137295,2019-01-08,13-01-2019,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Raleigh,North Carolina,South,OFF-BI-10004236,Office Supplies,Binders,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",30.828,7,-24.6624,nan,Cards,,,-33.16454433232049,2019-01-21,29.693735564238796,7,0.02
7809,US-2019-137295,2019-01-08,13-01-2019,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Raleigh,North Carolina,South,OFF-AR-10001955,Office Supplies,Art,Newell 319,47.616,3,5.952,nan,COD,,,6.879306983440381,2019-01-10,46.501286784437006,3,0.18
7810,US-2019-137295,2019-01-08,13-01-2019,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Raleigh,North Carolina,South,TEC-PH-10004080,Technology,Phones,Avaya 5410 Digital phone,108.784,2,10.8784,Returned,COD,,,13.237466537850207,2019-01-27,108.11432400942947,1,0.14
3209,CA-2019-108882,2019-01-09,15-01-2019,Standard Class,LA-16780,Laura Armstrong,Corporate,United States,Fresno,California,West,TEC-AC-10000420,Technology,Accessories,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,349.95,5,118.983,Returned,COD,,,148.31763248024535,2019-02-04,333.51261146065445,4,0.07
3210,CA-2019-108882,2019-01-09,15-01-2019,Standard Class,LA-16780,Laura Armstrong,Corporate,United States,Fresno,California,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,377.928,9,141.723,nan,Cards,,,181.7495425492764,2019-01-11,388.1563388949635,9,0.05
3702,CA-2019-126543,2019-01-09,13-01-2019,Second Class,MF-17665,Maureen Fritzler,Corporate,United States,Toledo,Ohio,East,FUR-FU-10002445,Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",15.168,2,3.792,nan,Cards,,,5.362154898240923,2019-01-12,15.352783499570743,1,0.22
4667,CA-2019-116547,2019-01-10,17-01-2019,Standard Class,KB-16585,Ken Black,Corporate,United States,Seattle,Washington,West,FUR-FU-10000076,Furniture,Furnishings,24-Hour Round Wall Clock,79.92,4,34.3656,nan,Cards,,,40.54692373125653,2019-01-16,80.73006598136861,3,0.27
4668,CA-2019-116547,2019-01-10,17-01-2019,Standard Class,KB-16585,Ken Black,Corporate,United States,Seattle,Washington,West,TEC-AC-10002335,Technology,Accessories,Logitech Media Keyboard K200,69.98,2,13.2962,nan,COD,,,17.36076557601403,2019-01-13,70.3022574233156,1,0.03
6970,CA-2019-163937,2019-01-10,13-01-2019,Second Class,JB-16000,Joy Bell-,Consumer,United States,Longview,Washington,West,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",24.85,5,7.7035,nan,Cards,,,10.299316252491499,2019-01-20,25.0744282332278,4,0.06
1026,CA-2019-126529,2019-01-11,13-01-2019,Second Class,DE-13255,Deanra Eno,Home Office,United States,Springfield,Ohio,East,OFF-PA-10001166,Office Supplies,Paper,Xerox 2,15.552,3,5.4432,Returned,Online,,,6.088655554606997,2019-02-04,16.22797071685027,4,0.3
1027,CA-2019-126529,2019-01-11,13-01-2019,Second Class,DE-13255,Deanra Eno,Home Office,United States,Springfield,Ohio,East,OFF-PA-10003656,Office Supplies,Paper,Xerox 1935,63.312,3,20.5764,nan,Cards,,,27.6344743562659,2019-02-07,60.200653387484955,4,0.0
1028,CA-2019-126529,2019-01-11,13-01-2019,Second Class,DE-13255,Deanra Eno,Home Office,United States,Springfield,Ohio,East,TEC-PH-10000148,Technology,Phones,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,15.588,2,-9.8724,nan,Online,,,-11.533032943476169,2019-01-17,14.883110187414498,1,0.15
8522,CA-2019-141887,2019-01-11,15-01-2019,Standard Class,MP-17470,Mark Packer,Home Office,United States,Columbus,Ohio,East,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,54.992,14,8.9362,Returned,Online,,,10.062345618094023,2019-02-03,53.29546055989147,14,0.15
7269,CA-2019-133368,2019-01-14,20-01-2019,Standard Class,AG-10675,Anna Gayman,Consumer,United States,Concord,North Carolina,South,OFF-PA-10004039,Office Supplies,Paper,Xerox 1882,89.568,2,32.4684,nan,Cards,,,48.03875807110246,2019-01-30,86.58808500032264,3,0.08
7270,CA-2019-133368,2019-01-14,20-01-2019,Standard Class,AG-10675,Anna Gayman,Consumer,United States,Concord,North Carolina,South,FUR-FU-10003374,Furniture,Furnishings,Electrix Fluorescent Magnifier Lamps & Weighted Base,315.776,8,31.5776,Returned,Online,,,46.93229683504609,2019-01-31,305.70888616333406,8,0.2
2878,CA-2019-152072,2019-01-15,19-01-2019,Standard Class,Dp-13240,Dean percer,Home Office,United States,Westfield,New Jersey,East,OFF-EN-10003040,Office Supplies,Envelopes,Quality Park Security Envelopes,52.34,2,24.5998,nan,Cards,,,35.01434523367813,2019-02-03,53.23995429853184,2,0.28
2879,CA-2019-152072,2019-01-15,19-01-2019,Standard Class,Dp-13240,Dean percer,Home Office,United States,Westfield,New Jersey,East,OFF-AR-10001573,Office Supplies,Art,American Pencil,4.66,2,1.3514,nan,COD,,,1.6512020190643573,2019-01-18,4.641119218289377,3,0.14
2880,CA-2019-152072,2019-01-15,19-01-2019,Standard Class,Dp-13240,Dean percer,Home Office,United States,Westfield,New Jersey,East,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,254.97,3,91.7892,nan,Cards,,,104.55421808278192,2019-02-02,267.5088860608997,3,0.22
3236,CA-2019-140746,2019-01-15,15-01-2019,Same Day,RC-19825,Roy Collins,Consumer,United States,Fairfield,Connecticut,East,FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",181.797,1,-15.5826,nan,COD,,,-21.405711823571334,2019-01-22,176.83186786534307,1,0.19
3742,CA-2019-137848,2019-01-15,21-01-2019,Standard Class,WB-21850,William Brown,Consumer,United States,New York City,New York,East,OFF-EN-10001137,Office Supplies,Envelopes,"#10 Gummed Flap White Envelopes, 100/Box",16.52,4,7.5992,nan,Online,,,9.697042732170392,2019-01-24,16.207491326897422,3,0.14
3743,CA-2019-137848,2019-01-15,21-01-2019,Standard Class,WB-21850,William Brown,Consumer,United States,New York City,New York,East,OFF-PA-10004285,Office Supplies,Paper,Xerox 1959,60.12,9,28.8576,nan,COD,,,33.15205222634268,2019-02-04,63.03125518941151,8,0.01
3744,CA-2019-137848,2019-01-15,21-01-2019,Standard Class,WB-21850,William Brown,Consumer,United States,New York City,New York,East,OFF-BI-10002225,Office Supplies,Binders,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",49.536,3,17.3376,nan,Cards,,,22.505431678698063,2019-01-27,51.17939712627801,2,0.22
5968,CA-2019-166912,2019-01-15,17-01-2019,First Class,BE-11335,Bill Eplett,Home Office,United States,New York City,New York,East,OFF-PA-10001033,Office Supplies,Paper,Xerox 1893,81.98,2,40.1702,nan,Online,,,44.73977750836102,2019-01-20,81.73241401112261,3,0.11
26,CA-2019-121755,2019-01-16,20-01-2019,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,4.2224,nan,Cards,,,6.180445786294981,2019-01-19,11.711594452283968,1,0.07
27,CA-2019-121755,2019-01-16,20-01-2019,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,11.7741,nan,COD,,,14.170270552542705,2019-01-27,93.67816242735279,3,0.28
876,CA-2019-116736,2019-01-17,21-01-2019,Standard Class,CC-12430,Chuck Clark,Home Office,United States,Concord,New Hampshire,East,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",322.59,3,64.518,nan,COD,,,88.06764509678008,2019-02-11,321.9764417572085,3,0.23
877,CA-2019-116736,2019-01-17,21-01-2019,Standard Class,CC-12430,Chuck Clark,Home Office,United States,Concord,New Hampshire,East,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,29.99,1,13.1956,nan,Online,,,16.160445870258176,2019-01-21,29.10836514702267,1,0.29
878,CA-2019-116736,2019-01-17,21-01-2019,Standard Class,CC-12430,Chuck Clark,Home Office,United States,Concord,New Hampshire,East,TEC-AC-10002049,Technology,Accessories,Logitech G19 Programmable Gaming Keyboard,371.97,3,66.9546,Returned,Online,,,87.57843853230075,2019-01-22,384.18715150060757,3,0.08
2303,CA-2019-106558,2019-01-17,21-01-2019,Standard Class,DL-13495,Dionis Lloyd,Corporate,United States,Columbus,Georgia,South,TEC-AC-10001142,Technology,Accessories,First Data FD10 PIN Pad,316.0,4,31.6,nan,Online,,,41.670417930899056,2019-01-18,317.1936107243103,4,0.25
2876,US-2019-167339,2019-01-21,23-01-2019,Second Class,TD-20995,Tamara Dahlen,Consumer,United States,San Diego,California,West,FUR-CH-10004289,Furniture,Chairs,Global Super Steno Chair,153.568,2,-5.7588,Returned,COD,,,-6.7604959353921625,2019-02-17,148.23984455612538,3,0.18
2877,US-2019-167339,2019-01-21,23-01-2019,Second Class,TD-20995,Tamara Dahlen,Consumer,United States,San Diego,California,West,FUR-CH-10000785,Furniture,Chairs,Global Ergonomic Managers Chair,1013.488,7,76.0116,nan,COD,,,113.0926315567154,2019-02-18,1014.0541172875414,7,0.29
268,CA-2019-111010,2019-01-22,28-01-2019,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Morristown,New Jersey,East,OFF-FA-10003472,Office Supplies,Fasteners,Bagged Rubber Bands,7.56,6,0.3024,nan,COD,,,0.42640006631376043,2019-02-20,7.494381755731225,7,0.28
2471,US-2019-135923,2019-01-22,28-01-2019,Standard Class,CM-11935,Carlos Meador,Consumer,United States,Fayetteville,North Carolina,South,FUR-FU-10002107,Furniture,Furnishings,Eldon Pizzaz Desk Accessories,14.272,8,4.2816,nan,COD,,,6.318783467280492,2019-02-09,14.809829661501645,8,0.29
2472,US-2019-135923,2019-01-22,28-01-2019,Standard Class,CM-11935,Carlos Meador,Consumer,United States,Fayetteville,North Carolina,South,FUR-BO-10002213,Furniture,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",451.136,4,-67.6704,nan,COD,,,-98.65876989375167,2019-02-03,434.2660143082342,5,0.29
2473,US-2019-135923,2019-01-22,28-01-2019,Standard Class,CM-11935,Carlos Meador,Consumer,United States,Fayetteville,North Carolina,South,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.864,4,6.4864,nan,COD,,,8.68632736902409,2019-02-04,67.29776087557168,5,0.0
2694,CA-2019-138079,2019-01-22,28-01-2019,Standard Class,AJ-10795,Anthony Johnson,Corporate,United States,Seattle,Washington,West,FUR-FU-10001475,Furniture,Furnishings,"Contract Clock, 14"", Brown",109.9,5,37.366,nan,Online,,,54.881301066349515,2019-01-31,110.03419907474503,5,0.22
5675,CA-2019-146318,2019-01-22,27-01-2019,Standard Class,MC-17275,Marc Crier,Consumer,United States,Seattle,Washington,West,OFF-PA-10003953,Office Supplies,Paper,Xerox 218,12.96,2,6.2208,nan,Online,,,7.063077662705832,2019-01-24,12.836056301255567,2,0.08
5752,CA-2019-125850,2019-01-22,28-01-2019,Standard Class,FP-14320,Frank Preis,Consumer,United States,San Diego,California,West,OFF-LA-10003498,Office Supplies,Labels,Avery 475,44.4,3,22.2,nan,Online,,,26.16032781828201,2019-01-27,42.899134298749054,3,0.21
5753,CA-2019-125850,2019-01-22,28-01-2019,Standard Class,FP-14320,Frank Preis,Consumer,United States,San Diego,California,West,OFF-LA-10004484,Office Supplies,Labels,Avery 476,20.65,5,9.499,Returned,Online,,,10.620745606944482,2019-02-04,21.064689092848873,5,0.29
6229,CA-2019-148208,2019-01-22,27-01-2019,Standard Class,BT-11530,Bradley Talbott,Home Office,United States,Cleveland,Ohio,East,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,110.376,4,-20.2356,nan,Online,,,-24.892461776477248,2019-02-07,115.086921732473,3,0.01
6230,CA-2019-148208,2019-01-22,27-01-2019,Standard Class,BT-11530,Bradley Talbott,Home Office,United States,Cleveland,Ohio,East,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",55.176,3,15.8631,nan,Cards,,,19.915660685629287,2019-02-07,54.48838208787489,2,0.17
6238,US-2019-155180,2019-01-22,29-01-2019,Standard Class,TB-21280,Toby Braunhardt,Consumer,United States,New York City,New York,East,OFF-BI-10004506,Office Supplies,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock,26.336,4,9.2176,nan,Online,,,11.139834734111625,2019-02-15,25.655438257766708,5,0.22
7294,CA-2019-113656,2019-01-23,29-01-2019,Standard Class,CB-12415,Christy Brittain,Consumer,United States,Los Angeles,California,West,FUR-FU-10000719,Furniture,Furnishings,"DAX Cubicle Frames, 8-1/2 x 11",59.99,7,21.5964,nan,Online,,,30.915138697059486,2019-01-26,60.31914663507794,8,0.08
9147,US-2019-165505,2019-01-23,27-01-2019,Standard Class,CB-12535,Claudia Bergmann,Corporate,United States,Burlington,Vermont,East,TEC-AC-10002926,Technology,Accessories,Logitech Wireless Marathon Mouse M705,99.98,2,42.9914,nan,COD,,,53.42546998768591,2019-02-14,102.94126711244185,1,0.07
9148,US-2019-165505,2019-01-23,27-01-2019,Standard Class,CB-12535,Claudia Bergmann,Corporate,United States,Burlington,Vermont,East,OFF-AR-10003477,Office Supplies,Art,4009 Highlighters,8.04,6,2.7336,nan,COD,,,3.3141450302725697,2019-01-27,7.6410292264186275,7,0.02
9149,US-2019-165505,2019-01-23,27-01-2019,Standard Class,CB-12535,Claudia Bergmann,Corporate,United States,Burlington,Vermont,East,OFF-ST-10001526,Office Supplies,Storage,Iceberg Mobile Mega Data/Printer Cart,1564.29,13,406.7154,nan,Online,,,535.6760818160561,2019-02-03,1584.8412409979007,13,0.03
4612,CA-2019-109407,2019-01-24,26-01-2019,Second Class,HG-14965,Henry Goldwyn,Corporate,United States,Gulfport,Mississippi,South,OFF-BI-10000285,Office Supplies,Binders,XtraLife ClearVue Slant-D Ring Binders by Cardinal,31.36,4,15.68,nan,COD,,,18.13187673904171,2019-02-16,31.6626741781909,5,0.2
4327,CA-2019-153346,2019-01-25,27-01-2019,First Class,TB-21355,Todd Boyes,Corporate,United States,Plainfield,New Jersey,East,OFF-AR-10000315,Office Supplies,Art,"Dixon Ticonderoga Maple Cedar Pencil, #2",9.21,3,2.3025,nan,COD,,,3.271573419274471,2019-02-20,9.042518163125632,4,0.15
4328,CA-2019-153346,2019-01-25,27-01-2019,First Class,TB-21355,Todd Boyes,Corporate,United States,Plainfield,New Jersey,East,OFF-PA-10000007,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 4 1/4"" x 6""",18.0,5,8.28,nan,Cards,,,9.354911731867402,2019-02-08,17.912561406488948,6,0.01
9358,CA-2019-168046,2019-01-25,28-01-2019,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,New York City,New York,East,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",43.12,5,15.092,nan,Online,,,22.558839058870007,2019-02-23,42.02890542258577,4,0.29
9359,CA-2019-168046,2019-01-25,28-01-2019,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,New York City,New York,East,FUR-TA-10001095,Furniture,Tables,Chromcraft Round Conference Tables,313.722,3,-99.3453,Returned,COD,,,-139.96738531168288,2019-01-28,322.81635334817275,2,0.2
9360,CA-2019-168046,2019-01-25,28-01-2019,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,New York City,New York,East,FUR-FU-10000747,Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,45.98,1,7.8166,Returned,Online,,,9.219572398512005,2019-02-10,46.59859162361736,2,0.15
9361,CA-2019-168046,2019-01-25,28-01-2019,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,New York City,New York,East,OFF-ST-10004337,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",428.68,7,0.0,Returned,Online,,,0.0,2019-02-16,430.08228181356725,7,0.08
8613,CA-2019-146437,2019-01-28,01-02-2019,Second Class,HG-14965,Henry Goldwyn,Corporate,United States,Los Angeles,California,West,OFF-AR-10000588,Office Supplies,Art,Newell 345,39.68,2,10.3168,Returned,COD,,,14.713660986033133,2019-02-12,39.25354395532194,3,0.2
2885,CA-2019-164483,2019-01-30,03-02-2019,Standard Class,JF-15490,Jeremy Farry,Consumer,United States,San Francisco,California,West,OFF-BI-10000014,Office Supplies,Binders,Heavy-Duty E-Z-D Binders,17.456,2,5.8914,Returned,COD,,,8.14629174221754,2019-02-27,17.09184058423779,1,0.11
7290,CA-2019-153661,2019-01-30,31-01-2019,First Class,SC-20725,Steven Cartwright,Consumer,United States,San Francisco,California,West,OFF-ST-10000675,Office Supplies,Storage,"File Shuttle II and Handi-File, Black",305.01,9,76.2525,nan,Online,,,106.11319763241815,2019-02-09,314.8537855608107,9,0.21
7291,CA-2019-153661,2019-01-30,31-01-2019,First Class,SC-20725,Steven Cartwright,Consumer,United States,San Francisco,California,West,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,50.784,2,17.7744,nan,Online,,,25.03538706005387,2019-02-08,50.537228713529835,3,0.2
7292,CA-2019-153661,2019-01-30,31-01-2019,First Class,SC-20725,Steven Cartwright,Consumer,United States,San Francisco,California,West,OFF-LA-10004689,Office Supplies,Labels,Avery 512,26.01,9,12.2247,nan,Online,,,13.809239461621495,2019-02-10,26.013764739008195,8,0.03
7565,US-2019-166660,2019-01-30,01-02-2019,Second Class,TB-21250,Tim Brockman,Consumer,United States,Seattle,Washington,West,FUR-CH-10001190,Furniture,Chairs,Global Deluxe High-Back Office Chair in Storm,435.168,4,-59.8356,nan,COD,,,-74.39876477875347,2019-02-15,436.0743997011953,4,0.27
7566,US-2019-166660,2019-01-30,01-02-2019,Second Class,TB-21250,Tim Brockman,Consumer,United States,Seattle,Washington,West,FUR-BO-10000468,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,48.58,1,7.7728,nan,Online,,,8.910330810350773,2019-02-09,48.32916657232659,2,0.15
8176,CA-2019-114944,2019-01-30,04-02-2019,Standard Class,HE-14800,Harold Engle,Corporate,United States,Chicago,Illinois,Central,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,156.512,4,52.8228,Returned,COD,,,76.34169585773652,2019-02-16,152.69449117674282,3,0.12
8925,CA-2019-168032,2019-01-30,03-02-2019,Standard Class,DF-13135,David Flashing,Consumer,United States,Rockford,Illinois,Central,TEC-PH-10004241,Technology,Phones,Nokia Lumia 1020,1439.968,4,143.9968,nan,Online,,,194.29765428366503,2019-02-18,1385.2982383055908,4,0.29
8926,CA-2019-168032,2019-01-30,03-02-2019,Standard Class,DF-13135,David Flashing,Consumer,United States,Rockford,Illinois,Central,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,1.728,3,-2.6784,nan,Cards,,,-3.3007509079061346,2019-02-01,1.6586272397665855,4,0.13
8927,CA-2019-168032,2019-01-30,03-02-2019,Standard Class,DF-13135,David Flashing,Consumer,United States,Rockford,Illinois,Central,FUR-TA-10004256,Furniture,Tables,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,626.1,3,-538.446,nan,Online,,,-605.9796957912434,2019-02-23,642.2197285863605,3,0.22
4999,CA-2019-129238,2019-01-31,04-02-2019,Standard Class,SC-20050,Sample Company A,Home Office,United States,Los Angeles,California,West,TEC-PH-10004120,Technology,Phones,AT&T 1080 Phone,109.592,1,8.2194,nan,Cards,,,10.063775238043887,2019-02-23,106.56208611016672,1,0.2
5000,CA-2019-129238,2019-01-31,04-02-2019,Standard Class,SC-20050,Sample Company A,Home Office,United States,Los Angeles,California,West,OFF-PA-10002764,Office Supplies,Paper,Easy-staple paper,56.7,5,27.783,nan,COD,,,34.17512729434765,2019-02-02,54.180664860789044,5,0.05
5114,CA-2019-147970,2019-01-31,02-02-2019,Second Class,AB-10150,Aimee Bixby,Consumer,United States,Dallas,Texas,Central,OFF-PA-10003936,Office Supplies,Paper,Xerox 1994,15.552,3,5.4432,nan,Cards,,,7.5760769399719,2019-02-06,16.014699070893442,2,0.3
7505,CA-2019-158043,2019-01-31,04-02-2019,Second Class,JK-15325,Jason Klamczynski,Corporate,United States,Atlantic City,New Jersey,East,OFF-EN-10003134,Office Supplies,Envelopes,Staple envelope,23.36,2,11.68,nan,Cards,,,15.826668506171556,2019-02-19,22.551888021082473,3,0.14
